Start Time,2023-12-15 10:45:45.369
Scope Points,402
Scope Interval(ms),10
SineOut,SineOut2,StepOut
9.94521765925535,1.04531014352022,10
9.96492754146627,0.83680417101096,10
9.98026648449727,0.6279311491557,10
9.99122776019232,0.418782696410387,10
9.99780656058177,0.209450552043826,10
9.9999999999912,2.65358979335273E-05,10
9.99780711630722,-0.209397491887461,10
9.99122887139946,-0.418729671167418,10
9.98026815069868,-0.627878182084726,10
9.96492976193111,-0.836751285345037,10
9.94522043300964,-1.04525736245672,10
9.92114880908274,-1.25330495591764,10
9.89272544874238,-1.46080280933144,10
9.85996281939276,-1.66765990743549,10
9.82287529178165,-1.87378551602315,10
9.78147913369693,-2.07908922174271,10
9.73579250283102,-2.2834809717556,10
9.68583543881633,-2.48687111323652,10
9.63162985443521,-2.689170432698,10
9.57319952600831,-2.89029019512238,10
